MLS,MLT,MLC,C_S,VP_T,C_T,DC_C,DC_T,T_S,CT_T,CP_T,CP_C,CN_T,CN_C
11.42857143,8.888888889,7.272727273,1.571428571,1.222222222,1.222222222,0.181818182,0.222222222,1.285714286,0.111111111,0.111111111,0.090909091,1.0,0.818181818
28.5,28.5,8.142857143,3.5,3.5,3.5,0.714285714,2.5,1.0,1.0,1.5,0.428571429,4.0,1.142857143
9.833333333,11.8,9.833333333,1.0,1.2,1.2,0.166666667,0.2,0.833333333,0.2,0.6,0.5,2.2,1.833333333
35.0,35.0,23.33333333,1.5,2.5,1.5,0.333333333,0.5,1.0,0.5,1.5,1.0,6.0,4.0
31.0,31.0,10.33333333,3.0,3.0,3.0,0.333333333,1.0,1.0,1.0,2.0,0.666666667,8.0,2.666666667
61.0,30.5,8.714285714,7.0,4.5,3.5,0.714285714,2.5,2.0,1.0,0.0,0.0,4.5,1.285714286
34.0,34.0,11.33333333,3.0,4.0,3.0,0.666666667,2.0,1.0,0.5,2.0,0.666666667,3.5,1.166666667
18.5,18.5,18.5,1.0,1.0,1.0,0.5,0.5,1.0,0.0,1.0,1.0,3.0,3.0
25.8,25.8,12.9,2.0,2.0,2.0,0.5,1.0,1.0,0.6,0.6,0.3,3.8,1.9
11.6,11.6,9.666666667,1.2,1.4,1.2,0.166666667,0.2,1.0,0.2,0.4,0.333333333,2.2,1.833333333
20.75,20.75,16.6,1.25,1.25,1.25,0.2,0.25,1.0,0.25,0.75,0.6,3.5,2.8
23.0,23.0,8.625,2.666666667,3.333333333,2.666666667,0.625,1.666666667,1.0,0.666666667,0.666666667,0.25,3.0,1.125
15.4,15.4,9.625,1.6,1.8,1.6,0.25,0.4,1.0,0.4,1.0,0.625,2.0,1.25
15.0,15.0,9.0,1.666666667,1.666666667,1.666666667,0.4,0.666666667,1.0,0.333333333,0.666666667,0.4,2.666666667,1.6
22.0,22.0,11.0,2.0,2.333333333,2.0,0.5,1.0,1.0,1.0,1.0,0.5,4.333333333,2.166666667
30.25,24.2,12.1,2.5,3.2,2.0,0.5,1.0,1.25,0.8,1.2,0.6,3.6,1.8
19.0,19.0,11.875,1.6,1.8,1.6,0.375,0.6,1.0,0.4,1.0,0.625,2.6,1.625
21.0,21.0,17.5,1.2,1.4,1.2,0.166666667,0.2,1.0,0.2,0.6,0.5,3.6,3.0
64.0,64.0,6.4,10.0,11.0,10.0,0.4,4.0,1.0,1.0,0.0,0.0,8.0,0.8
58.0,29.0,6.444444444,9.0,5.5,4.5,0.777777778,3.5,2.0,1.0,1.0,0.222222222,4.5,1.0
22.0,33.0,13.2,1.666666667,2.5,2.5,0.4,1.0,0.666666667,0.0,1.0,0.4,4.5,1.8
39.0,39.0,13.0,3.0,3.0,3.0,0.666666667,2.0,1.0,1.0,1.0,0.333333333,8.0,2.666666667
16.16666667,13.85714286,8.818181818,1.833333333,1.571428571,1.571428571,0.363636364,0.571428571,1.166666667,0.428571429,1.0,0.636363636,2.142857143,1.363636364
60.0,60.0,15.0,4.0,5.5,4.0,0.125,0.5,1.0,0.5,2.5,0.625,11.5,2.875
38.0,38.0,7.6,5.0,5.0,5.0,0.8,4.0,1.0,1.0,0.0,0.0,7.0,1.4
63.0,31.5,12.6,5.0,3.0,2.5,0.0,0.0,2.0,0.0,1.0,0.4,5.0,2.0
10.5,10.5,10.5,1.0,1.333333333,1.0,0.166666667,0.166666667,1.0,0.166666667,0.166666667,0.166666667,1.166666667,1.166666667
41.0,27.33333333,10.25,4.0,2.666666667,2.666666667,0.625,1.666666667,1.5,0.666666667,0.666666667,0.25,4.666666667,1.75
20.83333333,15.625,11.36363636,1.833333333,2.125,1.375,0.181818182,0.25,1.333333333,0.25,0.5,0.363636364,1.625,1.181818182
41.0,41.0,8.2,5.0,5.0,5.0,0.8,4.0,1.0,1.0,1.0,0.2,6.0,1.2
31.0,20.66666667,20.66666667,1.5,1.666666667,1.0,0.333333333,0.333333333,1.5,0.333333333,0.333333333,0.333333333,2.666666667,2.666666667
